2018-05-28 10:42:46,52,25.3,45.4
2018-05-28 10:44:18,52,25.3,45.4
2018-05-28 10:46:58,52,25.3,45.4
2018-05-28 10:47:39,52,25.3,45.4
2018-05-28 10:47:42,52,25.3,45.4
2018-05-28 10:47:46,52,25.3,45.4
2018-05-28 10:47:49,52,25.3,45.4
2018-05-28 10:47:53,52,25.3,45.4
2018-05-28 10:47:56,52,25.3,45.4
2018-05-28 10:48:00,52,25.3,45.4
2018-05-28 10:48:04,52,25.3,45.4
2018-05-28 10:48:07,52,25.3,45.4
2018-05-28 10:48:11,52,25.3,45.4
2018-05-28 10:48:14,52,25.3,45.4
2018-05-28 10:48:18,52,25.3,45.4
2018-05-28 10:48:21,52,25.3,45.4
2018-05-28 10:48:24,52,25.3,45.4
2018-05-28 10:48:28,52,25.3,45.4
2018-05-28 10:48:31,52,25.3,45.4
2018-05-28 10:48:34,52,25.3,45.4
2018-05-28 11:19:42,52,25.3,45.4
2018-05-28 11:19:45,52,25.3,45.4
